,taxa,pm,pvalue,qvalue
0,taxa841,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08
1,taxa572511,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13
2,taxa1730,0.3161220076206742,1.3862371250894512e-09,4.2280232315228264e-09
3,taxa216851,0.19330929811340447,0.09612244273651094,0.10470480369512798
4,taxa189330,0.22402651567140985,0.014293408898834126,0.019375509840641812
5,taxa375288,0.2758668142679497,9.438208603551601e-08,2.503177064420207e-07
6,taxa816,0.4353285371443134,2.8685871208075257e-24,5.832793812308636e-23
7,taxa239759,0.38471388222485714,8.456851200094386e-20,7.369541760082251e-19
0,taxa33042,0.21117870470268096,0.03977288185083194,0.04665664986347594
1,taxa292632,0.6065265874979333,1.773657023286081e-39,5.409653921022546e-38
2,taxa1263,0.4099441111448291,9.937281197178403e-21,1.2123483060557653e-19
3,taxa102106,0.2963922412541724,5.453386058618115e-06,1.1470915502610518e-05
4,taxa1678,0.4783237196775898,1.2208795738343442e-21,1.8618413500973747e-20
5,taxa459786,0.5313530983108932,0.0,0.0
6,taxa1301,0.25563734081254463,0.0003479816210957276,0.0005896355246344274
7,taxa1485,0.27710494396337737,1.4241800279091166e-06,3.217591914905782e-06
0,taxa239934,0.4252546501871196,5.461187058131145e-13,2.2208827369733324e-12
1,taxa35832,0.5188035023046061,4.440892098500626e-16,2.708944180085382e-15
2,taxa397864,0.460915007252631,4.551914400963142e-15,2.313889820489597e-14
3,taxa39948,0.38313999209832084,7.40948080668602e-10,2.3788333116202485e-09
4,taxa283168,0.2947426317755042,0.04788645623337617,0.05511460057048956
5,taxa84111,0.3368540734420947,6.208204860969069e-06,1.262334988397044e-05
6,taxa561,0.26436484980386665,0.0007912027308542013,0.0013044153130298995
7,taxa207244,0.24675057849949822,0.015952345690384062,0.021154197545944085
0,taxa61170,0.2981798468166418,0.10505263029850664,0.11242474470541938
1,taxa29465,0.2654581599306145,0.005121513172647418,0.007265402407709128
2,taxa2172,0.3634765468086999,1.3674921615081104e-05,2.6908716726449912e-05
3,taxa447020,0.2807997798601778,0.13724282331886173,0.14434159004225114
4,taxa838,0.3450450603481906,1.4467016995478588e-07,3.6770334863508075e-07
5,taxa244127,0.6837945948153943,2.518146522852154e-20,2.5601156315663567e-19
6,taxa836,0.7060151123459371,1.2927577333461009e-17,9.857277716764019e-17
7,taxa100883,0.36409922938221795,0.026252304343220234,0.033362303436175716
0,taxa577310,0.4486841990961765,7.228386855739899e-08,2.0042345372733356e-07
1,taxa1357,0.31083187024236425,0.09299061536657915,0.10313504613384233
2,taxa1378,0.6533228030149634,1.1102230246251565e-16,7.524844944681616e-16
3,taxa724,0.23212759575362785,0.2170995033459967,0.22071782840176332
4,taxa117563,0.26767341469198047,0.31615618365792597,0.31615618365792597
5,taxa644652,0.35413289759492605,0.0010703337941821989,0.0017181674064503719
6,taxa1578,0.28688030669001807,0.03689320412847541,0.044127165722294116
7,taxa872,0.23361529103565948,0.14810690067126253,0.15312747357537312
0,taxa40544,0.4444532074419216,9.225851054983636e-05,0.00017053845889515205
1,taxa577309,0.577246240322429,5.179301432178818e-12,1.8584552197818114e-11
2,taxa1654,0.443518946728208,3.3546673519846415e-05,6.394834639720723e-05
3,taxa904,0.6033796373154683,5.0638382376178015e-12,1.8584552197818114e-11
4,taxa123375,0.5804846519687347,3.178986142104989e-07,7.756726186736174e-07
5,taxa32207,0.4703939057529105,0.0021768500829456583,0.003319696376492129
6,taxa1017280,0.3632509340291914,0.035317520079794384,0.043087374497349146
0,taxa830,0.5423121373583772,0.00016538545739974708,0.0002882432257538449
1,taxa133925,0.44813264553544285,0.0001269173589459882,0.0002277046734030965
2,taxa848,0.43779926690455884,3.9427550575510395e-06,8.589573518236193e-06
3,taxa286,0.6893102265727272,1.0490763813209014e-10,3.555203292254166e-10
4,taxa570,0.4112751002255691,0.08325047001744235,0.09404219761229599
5,taxa906,0.7476177350520242,3.574918139293004e-14,1.6774615884374865e-13
6,taxa1350,0.3848514943778859,0.0011847769896257132,0.0018531127273632949
0,taxa52225,0.4038786935540045,0.0057145547678396635,0.007922450928141351
1,taxa33024,0.7908915069825307,1.2212453270876722e-15,6.772360450213455e-15
2,taxa1380,0.5980221509609116,0.003455256816635499,0.005018349186065844
3,taxa1348911,0.4390593143233379,0.01711664143136027,0.022215215474744178
4,taxa946234,0.4594677562532824,0.029264503847651224,0.03643132111646377
5,taxa84108,0.6709711954232133,1.0845714355500746e-06,2.544571444944406e-06
6,taxa846,0.501077695126229,0.002317630100887258,0.00344818136961275
