condition,taxa841,taxa572511,taxa1730,taxa216851,taxa189330,taxa375288,taxa816,taxa239759,taxa33042,taxa292632,taxa1263,taxa102106,taxa1678,taxa459786,taxa1301,taxa1485,taxa239934,taxa35832,taxa397864,taxa39948,taxa283168,taxa84111,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544,taxa577309,taxa1654,taxa904,taxa123375,taxa32207,taxa1017280,taxa830,taxa133925,taxa848,taxa286,taxa570,taxa906,taxa1350,taxa52225,taxa33024,taxa1380,taxa1348911,taxa946234,taxa84108,taxa846
crc,0.66831,3.56755,0.86441,0.30952,0.342,1.6568,18.9344,,0.70295,13.2772,16.796,0.08362,,0.71027,,,0.21288,,,,,,,,,,,,3.0909,,,,,,,,,,,,,,,,,,,,,38.7832,,,,,,,,,,,
crc,0.73602,2.53516,0.82314,0.28308,1.08958,1.54966,19.3519,,0.41646,10.6976,15.3243,0.1841,,0.75469,,,0.08905,,,,,,,,,,,,3.5138,,,,,,,,,,,,,,,,,,,,,40.348,,,,,,,,,,,
crc,1.25055,1.19355,0.61932,,1.61289,1.38829,17.458,,0.20614,9.32714,15.5376,,,0.1575,,,,,,,,,,,,,,,3.5586,0.62613,,,,,,,,,,,,,,,,,,,,44.6686,,,,,,,,,,,
crc,0.52097,2.1789,0.48482,,1.37678,0.29714,15.7244,,0.54305,8.39738,16.1669,,,,,,,,,,,,,,,,,,3.32389,,,,,,,,,,,,,,,,,,,,,46.9135,,,,,,,,,,,
crc,0,0,0,,,,4.84149,,,12.5474,18.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4451,,,,,,,,,,,
crc,0.32031,2.03525,1.99342,0.84941,1.83344,2.30835,11.1717,0.68063,0.56027,1.55604,8.15378,0.11607,2.46438,0.26699,2.22971,3.46858,31.2991,0.2261,4.04363,,0.66513,0.58218,0.21226,0.18285,,,12.0613,,,,,0.03108,0.19094,0.00105,,,,0.0019,0.09419,,,,,,0.03194,,0.01085,,0.07514,,,,,,,,,,0.03702,,
crc,0.35237,1.83274,1.95316,0.82223,1.82055,2.26338,11.0894,0.77323,0.50375,1.7713,7.94254,0.06194,2.5554,0.22148,2.14209,3.40884,31.8257,0.26263,4.00603,,0.64729,0.57865,0.15365,0.13892,,,11.7162,,,,,0.01913,0.21895,,,,,0.00273,0.1142,0.0051,,,,,0.02346,,0.00737,,0.08125,,,,,,,,,,0.06734,,
crc,0.34246,1.41656,2.10442,0.80941,1.81882,2.1363,11.6858,0.632,0.47303,1.43479,7.98018,0.0362,2.19491,0.19735,1.96441,3.46567,30.6723,0.22532,4.08834,,0.65283,0.55128,0.24542,0.28551,,,13.1185,,,,,0.03338,0.22229,0.00123,,,,0.00443,0.10604,,,,,,0.02222,,0.01006,,0.06373,,,,,,,,,,0.04726,,
crc,0.36443,1.54235,1.85657,0.85468,1.84517,2.06599,11.0429,0.78372,0.55781,1.7474,7.7794,0.15647,2.62015,0.25963,1.83743,3.08332,32.2089,0.27312,4.10879,,0.6488,0.69614,0.14286,0.12228,,,12.2108,,,,,0.01524,0.21367,,,,,0.00724,0.09042,,,,0.00069,,0.04285,,0.02602,,0.09874,,,,,,,,,,0.05405,,
crc,0.81535,10.4933,6.31783,8.43947,0.73997,1.8827,15.3307,2.79264,2.87713,5.47209,5.67466,2.03342,10.3825,0.33329,,0.18415,,,2.64919,,0.26277,,,0.17426,,0.00722,0.2527,0.01419,,0.164,,0.02838,0.11366,,,,,,,,,,,,,,0.00926,,,,,,,,,,,,0.00708,,
crc,0.80777,11.2864,6.55415,8.48236,0.69501,1.88603,13.292,2.66507,2.9945,5.58903,5.86957,2.0489,10.6019,0.32399,,0.16736,0.00064,,2.68731,,0.26864,,,0.24331,,0.0061,0.27058,0.02159,,0.17245,,0.0341,0.10937,,,,,,,,,,,,,,0.01263,,,,,,,,,,,,0.0052,,
crc,0.79808,11.2543,6.49253,8.59807,0.5881,1.67431,15.6899,2.62842,2.82562,5.32282,5.46898,2.10098,9.96604,0.32273,,0.16801,0.00114,,2.55682,,0.27847,,,0.21955,,0.0097,0.26974,0.01938,,0.16505,,0.03397,0.11746,,,,,,,,,,,,,,0.01191,,,,,,,,,,,,0.00954,,
crc,0.82308,10.2841,6.3278,8.64225,0.77548,1.83911,15.824,2.66287,2.79891,5.70311,5.70998,2.00514,10.2434,0.33774,,0.17903,,,2.59746,,0.2659,,,0.22179,,0.00664,0.27498,0.02168,,0.15802,,0.02929,0.12721,,,,,,,,,,,,0.00039,,0.01587,,,,,,,,0.00963,,,,0.00391,,
crc,9.10955,1.59618,2.61951,1.56781,8.98545,17.0689,20.8916,0.4941,2.98412,1.07125,17.4355,0.6618,0.16871,0.00949,0.75513,0.62286,1.29368,0.42341,0.21844,,1.18909,,1.19397,0.27861,0.00035,0.01737,0.09109,,0.03085,0.20215,0.02829,,,,0.04018,0.06418,0.00342,,,0.28669,0.00026,0.52436,0.00301,,0.01728,0.00207,,0.03347,0.01007,0.07022,,,,,,4.06126,,0.04914,,,0.00477
crc,8.98293,1.73813,2.59996,1.56355,9.08039,17.1319,21.1022,0.49866,3.05053,1.1194,17.456,0.72387,0.19698,0.00633,0.73289,0.6313,1.28451,0.4107,0.22693,,1.23403,,1.08432,0.32264,0.0045,0.00885,0.08073,,0.02686,0.29015,0.03764,,,,0.03083,0.06037,0.00424,,,0.2927,0.00182,0.5199,0.00309,,0.01803,0.00636,,0.03563,0.00459,0.10051,,,,,,3.90611,,0.0395,,,0.00297
