,taxa,pm,pvalue,qvalue
0,taxa561,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05
1,taxa207244,0.3084497150049179,0.008116667468799355,0.012851390158932312
2,taxa61170,0.26558916826402945,0.0002962019147395578,0.0005627836380051598
0,taxa29465,0.21922456321550787,0.05516577136906842,0.06987664373415332
1,taxa2172,0.4322885616599772,5.153444337935298e-11,2.4478860605192665e-10
2,taxa447020,0.3753775484463462,3.319058527906371e-06,1.0510352005036843e-05
0,taxa838,0.3013499898397104,3.195829044888576e-05,6.746750205875883e-05
1,taxa244127,0.6456816087639363,2.778428861907663e-25,5.27901483762456e-24
2,taxa836,0.5476616274743422,1.2450040998146505e-12,7.885025965492787e-12
0,taxa100883,0.46660621756299636,5.346248045712265e-06,1.451124469550472e-05
1,taxa577310,0.30643108952538967,0.006813323495836965,0.011768467856445666
0,taxa1357,0.286186762396056,0.04970459657354709,0.06745623820695677
1,taxa1378,0.6060071430189309,2.659496805429069e-16,2.526521965157616e-15
0,taxa724,0.2950404513779923,0.010268387831946724,0.015007643754383673
1,taxa117563,0.28947471743185527,0.35597104488442777,0.37574721404467376
0,taxa644652,0.2752611199472389,0.2261488269440438,0.2527545712904019
1,taxa1578,0.28718796203173436,0.15767680194860312,0.1872412023139662
0,taxa872,0.28276980943457375,0.47080733840018607,0.47080733840018607
1,taxa40544,0.5636988951796071,6.160957743972517e-09,2.3411639427095567e-08
